,title,artistName,yearAsString,genre,image,brightness,blockCount,colorCount,pink,brown,yellow,blue,gray,purple,black,orange,green,white,red,mean_b_gradients_horiz,mean_g_gradients_horiz,mean_r_gradients_horiz,mean_b_gradients_vert,mean_g_gradients_vert,mean_r_gradients_vert,label
980,Saturn Revisited,Frankenthaler Helen,1964.0,abstract,https://uploads3.wikiart.org/images/helen-frankenthaler/saturn-revisited-1964.jpg,44.74964207905385,8.0,3.0,0.0,4.829365079365079,9.857142857142858,0.0,62.72619047619048,0.0,0.0,22.58730158730159,0.0,0.0,0.0,0.008381226053639845,0.002232885172692289,0.005486502233443387,0.002420388211285653,0.009981550688301245,0.003288996372430472,13
981,Untitled,Frankenthaler Helen,1965.0,abstract,https://uploads4.wikiart.org/images/helen-frankenthaler/untitled-1965.jpg,82.3961958436069,7.0,2.0,0.0,1.7125748502994012,4.4191616766467074,0.0,14.155688622754493,0.0,0.0,1.6167664670658684,0.0,78.09580838323353,0.0,0.0006494616304905143,0.008245614035087721,0.004890317171999442,0.0040032568869588815,0.0031012614119450828,0.00438489646772229,2
982,Frankenthaler Preview,Frankenthaler Helen,1965.0,abstract,https://uploads8.wikiart.org/images/helen-frankenthaler/frankenthaler-preview-1965.jpg,70.83150414528228,4.0,3.0,0.0,0.0,19.392617449664424,0.0,55.54026845637585,0.0,0.0,0.0,0.0,25.06711409395973,0.0,0.00977507356241584,0.012255309709976157,0.013582986092321014,0.005230644361275195,0.0070977917981072565,4.907012120319937e-05,1
983,Air Frame,Frankenthaler Helen,1965.0,abstract,https://uploads5.wikiart.org/images/helen-frankenthaler/air-frame-1965.jpg,35.65243188184365,5.0,2.0,0.0,12.308441558441556,0.10714285714285716,0.12987012987012986,83.68181818181817,0.0,0.0,2.165584415584416,0.0,1.607142857142857,0.0,0.010608161051172323,0.002037596950177468,0.0006408430646539447,0.0014359742773303364,0.013987931980252331,0.01576980568011958,8
984,Mauve District,Frankenthaler Helen,1966.0,abstract,https://uploads1.wikiart.org/images/helen-frankenthaler/mauve-district-1966.jpg,59.84111253196931,4.0,3.0,0.0,6.5516304347826075,0.02989130434782608,0.0,66.92663043478261,0.0,0.00815217391304348,3.3994565217391304,0.0,22.885869565217394,0.19836956521739127,6.03554938588285e-05,0.0022883295194508014,0.006160288896306861,0.0055184960582171025,0.0051490186576205466,0.0007291508430806622,1
985,Persian Garden,Frankenthaler Helen,1966.0,abstract,https://uploads1.wikiart.org/images/helen-frankenthaler/persian-garden-1966.jpg,77.57659088175147,2.0,3.0,0.0,2.3588957055214723,0.12576687116564414,0.0,16.37730061349693,0.0,0.0,24.187116564417177,0.0,56.95092024539877,0.0,0.0008461538461538463,0.0012770403622150849,0.00237839496700936,0.00658725149889555,0.0013185232539555695,0.007490488268864935,3
986,Tutti-Fruitti,Frankenthaler Helen,1966.0,abstract,https://uploads0.wikiart.org/images/helen-frankenthaler/tutti-fruitti-1966.jpg,59.70312091503267,3.0,5.0,0.0,7.75,11.575,0.0,32.766666666666666,0.0,0.4458333333333333,37.85833333333333,0.0,9.604166666666666,0.0,0.008617878604369498,0.005590329208275599,0.012209893890207858,0.0016492578339747114,0.002240687144057511,0.008626818979001754,12
987,Paris Review,Frankenthaler Helen,1966.0,abstract,https://uploads8.wikiart.org/images/helen-frankenthaler/paris-review-1966.jpg,74.21336898395721,4.0,3.0,0.0,0.04895104895104895,12.909090909090908,0.0,24.11188811188811,0.0,0.0,4.671328671328673,0.0,58.258741258741246,0.0,0.010373634444138436,0.003536270668068431,0.0054311576941400656,0.018913716629006608,0.0058464667005592285,0.0031355932203389826,3
988,Indian Summer,Frankenthaler Helen,1967.0,abstract,https://uploads0.wikiart.org/images/helen-frankenthaler/indian-summer-1967.jpg,30.325193107546053,4.0,2.0,0.0,91.6590909090909,0.0,0.0,0.9671717171717172,0.0,0.002525252525252525,0.0,0.0,7.371212121212121,0.0,0.0011908749209184626,0.008980454305335447,0.004342500835096314,0.0036306708413829853,0.0005131889561736632,0.005370714406350279,4
989,Untitled,Frankenthaler Helen,1967.0,abstract,https://uploads4.wikiart.org/images/helen-frankenthaler/untitled-1967.jpg,59.88770957658425,4.0,3.0,0.0,14.347826086956523,1.1304347826086958,0.0,34.9963768115942,0.0,0.0,0.5833333333333334,0.0,48.94202898550725,0.0,0.014867109634551496,0.008495247707965347,0.0035174111853675696,0.017410517012814847,0.0187370507161517,0.005520209580838324,19
990,White Portal,Frankenthaler Helen,1967.0,abstract,https://uploads8.wikiart.org/images/helen-frankenthaler/white-portal-1967.jpg,81.02442539929878,2.0,3.0,0.0,0.18543046357615892,9.960264900662251,0.0,33.48013245033113,0.0,0.0,0.10596026490066224,0.0,56.268211920529794,0.0,0.009188271785567977,0.0047228436490181465,0.007953171724883884,0.0073599240265906935,0.00769764653921383,0.0015443021684576285,3
991,Glow II,Frankenthaler Helen,1968.0,abstract,https://uploads3.wikiart.org/images/helen-frankenthaler/glow-ii-1968.jpg,44.75411764705883,4.0,3.0,0.0,39.79459459459459,0.33513513513513515,0.0,8.648648648648651,0.0,0.02972972972972973,51.089189189189185,0.0,0.10270270270270272,0.0,0.00245292796683365,0.0010354733115104547,0.007412237054322089,0.00021229168878038424,0.00621096339718762,0.008542201286603155,12
992,Sun Corner,Frankenthaler Helen,1968.0,abstract,https://uploads6.wikiart.org/images/helen-frankenthaler/sun-corner-1968.jpg,72.595171938122,3.0,3.0,0.0,0.5226130653266331,27.356783919597987,13.263819095477386,1.9472361809045229,0.0,0.0,0.035175879396984924,0.0,56.874371859296474,0.0,0.007705432329792505,0.014091380467272615,0.0004906771344455348,0.0018092384237010234,0.015869049106585032,0.015140956604371241,3
993,Blessing of the Fleet,Frankenthaler Helen,1969.0,abstract,https://uploads8.wikiart.org/images/helen-frankenthaler/blessing-of-the-fleet-1969.jpg,51.14854995890572,3.0,2.0,0.0,22.485029940119762,0.5119760479041916,0.0,0.09580838323353294,0.0,0.002994011976047905,76.75149700598803,0.0,0.1526946107784431,0.0,0.007226738934056006,0.0022661870503597123,0.0024140012070006035,0.008045140152894066,0.004541358803387997,0.003608947330808261,5
994,Variation II on Mauve Corner,Frankenthaler Helen,1969.0,abstract,https://uploads6.wikiart.org/images/helen-frankenthaler/variation-ii-on-mauve-corner-1969.jpg,55.34867212707868,2.0,2.0,0.0,32.41139240506329,0.0,0.0,67.58860759493672,0.0,0.0,0.0,0.0,0.0,0.0,0.010276917784657722,0.004159495123350545,0.007104372288180041,0.0010979266078290613,0.0104483905730216,0.008485519276886183,6
995,Summer Insignia,Frankenthaler Helen,1969.0,abstract,https://uploads2.wikiart.org/images/helen-frankenthaler/summer-insignia-1969.jpg,57.371416122004355,4.0,3.0,0.0,0.5027777777777778,0.15,0.0,66.44444444444444,0.0,0.0,11.177777777777779,0.0,21.725,0.0,0.006213394448688566,0.007312898708573206,0.005608189044974409,0.003087858308086693,0.004880694143167028,0.00812000247939007,1
996,A Little Zen,Frankenthaler Helen,1970.0,abstract,https://uploads8.wikiart.org/images/helen-frankenthaler/a-little-zen-1970.jpg,85.17322515212982,2.0,2.0,0.0,1.475862068965517,0.0,0.0,16.28620689655172,0.0,0.0,0.1206896551724138,0.0,82.06896551724137,0.04827586206896552,0.008970683436604088,0.00544880986521365,0.012973679298114616,0.0036011317842750577,0.008855827134254339,0.018028950333708937,2
997,Orange Downpour,Frankenthaler Helen,1970.0,abstract,https://uploads2.wikiart.org/images/helen-frankenthaler/orange-downpour-1970.jpg,72.6221623860812,5.0,2.0,0.0,1.9577464788732395,0.09859154929577464,0.0,2.1830985915492955,0.0,0.0,62.57746478873239,0.0,33.183098591549296,0.0,0.004446326487402075,0.0014259787399533315,0.002701171960092363,0.008052516411378555,0.0014782297079376455,0.011368250101502234,5
